"","uniqueID","year","month","day","hour","xm","ym","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","rID","distX","distY","dist2X","dist2Y"
"10806","F6","2007","Nov",10,0,1808.336,505.208,10-11-07,"noStart",FALSE,313,16,2.93351836537626,313,313,3,0.656999999999925,-2.85899999999998,0,0
"11360","F6","2007","Nov",26,0,1807.318,505.879,26-11-07,"noStart",FALSE,329,16,1.21924771888245,329,329,4,-1.01800000000003,0.670999999999992,-1.01800000000003,0.670999999999992
"11942","F6","2007","Dec",12,0,1806.82,506.621,12-12-07,"noStart",FALSE,345,16,0.893626320113721,345,345,5,-0.498000000000047,0.741999999999962,-0.498000000000047,0.741999999999962
"12506","F6","2007","Dec",28,1,1804.499,507,28-12-07,"noStart",FALSE,361,16,2.35174020674045,361,361,6,-2.32099999999991,0.379000000000019,-2.32099999999991,0.379000000000019
"13016","F6","2008","Jan",12,1,1805.478,504.586,12-01-08,"noStart",TRUE,9,15,2.6049639152971,374,374,7,0.979000000000042,-2.41399999999999,0.979000000000042,-2.41399999999999
"13566","F6","2008","Jan",28,0,1805.657,503.471,28-01-08,"noStart",TRUE,25,16,1.12927675970064,390,390,8,0.17899999999986,-1.11500000000001,0.17899999999986,-1.11500000000001
"14092","F6","2008","Feb",13,0,1807.094,505.058,13-02-08,"noStart",TRUE,41,16,2.14091989574583,406,406,9,1.43700000000013,1.58699999999999,1.43700000000013,1.58699999999999
"14684","F6","2008","Feb",29,0,1804.674,506.355,29-02-08,"noStart",TRUE,57,16,2.74565274570555,422,422,10,-2.42000000000007,1.29700000000003,-2.42000000000007,1.29700000000003
"15242","F6","2008","Mar",16,0,1804.252,508.064,16-03-08,"noStart",TRUE,73,16,1.76033093479608,438,438,11,-0.422000000000025,1.709,-0.422000000000025,1.709
"15810","F6","2008","Apr",1,1,1803.784,506.435,01-04-08,"noStart",TRUE,89,16,1.69489380198286,454,454,12,-0.467999999999847,-1.62900000000002,-0.467999999999847,-1.62900000000002
"16354","F6","2008","Apr",17,0,1803.567,507.135,17-04-08,"noStart",TRUE,105,16,0.732863561653891,470,470,13,-0.217000000000098,0.699999999999989,-0.217000000000098,0.699999999999989
"16854","F6","2008","May",3,1,1799.514,507.704,03-05-08,"noStart",TRUE,121,16,4.0927460219272,486,486,14,-4.05300000000011,0.569000000000017,-4.05300000000011,0.569000000000017
"17394","F6","2008","May",19,0,1803.103,508.771,19-05-08,"noStart",TRUE,137,16,3.74425025873021,502,502,15,3.58900000000017,1.06700000000001,3.58900000000017,1.06700000000001
"17858","F6","2008","Jun",4,0,1802.812,509.725,04-06-08,"noStart",TRUE,153,16,0.997395107266981,518,518,16,-0.291000000000167,0.954000000000008,-0.291000000000167,0.954000000000008
"18382","F6","2008","Jun",20,1,1806.894,507.785,20-06-08,"noStart",TRUE,169,16,4.51954909255347,534,534,17,4.08200000000011,-1.94,4.08200000000011,-1.94
"18912","F6","2008","Jul",6,2,1806.885,507.81,06-07-08,"noStart",TRUE,185,16,0.0265706605111564,550,550,18,-0.00900000000001455,0.0249999999999773,-0.00900000000001455,0.0249999999999773
"19404","F6","2008","Jul",22,0,1805.511,508.473,22-07-08,"noStart",TRUE,201,16,1.52559660461083,566,566,19,-1.37400000000002,0.663000000000011,-1.37400000000002,0.663000000000011
"19816","F6","2008","Aug",7,1,1805.702,507.565,07-08-08,"noStart",TRUE,217,16,0.927871219512729,582,582,20,0.191000000000031,-0.908000000000015,0.191000000000031,-0.908000000000015
"20238","F6","2008","Aug",23,0,1805.448,508.605,23-08-08,"noStart",TRUE,233,16,1.07056807350116,598,598,21,-0.253999999999905,1.04000000000002,-0.253999999999905,1.04000000000002
"20766","F6","2008","Sep",8,1,1807.061,508.717,08-09-08,"noStart",TRUE,249,16,1.61688373113203,614,614,22,1.61299999999983,0.111999999999966,1.61299999999983,0.111999999999966
"21286","F6","2008","Sep",24,0,1807.021,508.115,24-09-08,"noStart",TRUE,265,16,0.603327440118521,630,630,23,-0.0399999999999636,-0.601999999999975,-0.0399999999999636,-0.601999999999975
"21788","F6","2008","Oct",10,1,1806.653,505.651,10-10-08,"noStart",TRUE,281,16,2.49132896262215,646,646,24,-0.367999999999938,-2.464,-0.367999999999938,-2.464
"22262","F6","2008","Oct",26,0,1807.285,505.48,26-10-08,"noStart",TRUE,297,16,0.654725133166641,662,662,25,0.632000000000062,-0.170999999999992,0.632000000000062,-0.170999999999992
"41306","M4","2007","Nov",10,0,1817.97,504.432,10-11-07,"noStart",FALSE,313,16,3.55387816335898,313,313,30,1.65499999999997,-3.14499999999998,10.6849999999999,-1.048
"41439","M4","2007","Nov",26,0,1817.74,504.338,26-11-07,"noStart",FALSE,329,16,0.248467301671683,329,329,31,-0.230000000000018,-0.0939999999999941,-0.230000000000018,-0.0939999999999941
"41588","M4","2007","Dec",12,1,1821.501,507.559,12-12-07,"noStart",FALSE,345,16,4.95176352424061,345,345,32,3.76099999999997,3.221,3.76099999999997,3.221
"41744","M4","2007","Dec",28,0,1821.413,507.582,28-12-07,"noStart",FALSE,361,16,0.0909560333347515,361,361,33,-0.0879999999999654,0.0229999999999677,-0.0879999999999654,0.0229999999999677
"41891","M4","2008","Jan",12,2,1821.41,507.706,12-01-08,"noStart",TRUE,9,15,0.124036285013723,374,374,34,-0.00299999999992906,0.124000000000024,-0.00299999999992906,0.124000000000024
"41934","M4","2008","Jan",27,1,1818.416,507.776,27-01-08,"noStart",TRUE,24,15,2.99481819147688,389,390,35,-2.99400000000014,0.0699999999999932,-2.99400000000014,0.0699999999999932
"42019","M4","2008","Feb",12,2,1818.088,507.462,12-02-08,"noStart",TRUE,40,16,0.454070479110894,405,406,36,-0.327999999999975,-0.314000000000021,-0.327999999999975,-0.314000000000021
"42079","M4","2008","Feb",29,1,1818.451,505.729,29-02-08,"noStart",TRUE,57,17,1.77060949957919,422,422,37,0.363000000000056,-1.733,0.363000000000056,-1.733
"42188","M4","2008","Mar",16,4,1816.622,505.211,16-03-08,"noStart",TRUE,73,16,1.90093792639312,438,438,38,-1.82899999999995,-0.517999999999972,-1.82899999999995,-0.517999999999972
"42220","M4","2008","Mar",31,1,1816.859,505.724,31-03-08,"noStart",TRUE,88,15,0.565099991151926,453,454,39,0.236999999999853,0.512999999999977,0.236999999999853,0.512999999999977
"42245","M4","2008","Apr",17,0,1816.831,507.191,17-04-08,"noStart",TRUE,105,17,1.46726718766554,470,470,40,-0.02800000000002,1.46699999999998,-0.02800000000002,1.46699999999998
"42377","M4","2008","May",3,7,1815.338,509.736,03-05-08,"noStart",TRUE,121,16,2.95060570052996,486,486,41,-1.49299999999994,2.54500000000002,-1.49299999999994,2.54500000000002
"42491","M4","2008","May",19,1,1817.835,503.728,19-05-08,"noStart",TRUE,137,16,6.50623339575212,502,502,42,2.49700000000007,-6.00799999999998,2.49700000000007,-6.00799999999998
"42592","M4","2008","Jun",4,2,1816.262,507.543,04-06-08,"noStart",TRUE,153,16,4.12656685393564,518,518,43,-1.57300000000009,3.815,-1.57300000000009,3.815
"42671","M4","2008","Jun",20,0,1816.967,507.457,20-06-08,"noStart",TRUE,169,16,0.710226020362687,534,534,44,0.705000000000155,-0.0860000000000127,0.705000000000155,-0.0860000000000127
"42689","M4","2008","Jul",20,3,1816.096,507.907,20-07-08,"noStart",TRUE,199,30,0.98037798832907,564,566,46,-0.871000000000095,0.449999999999989,-0.871000000000095,0.449999999999989
"49137","M6","2007","Nov",12,22,1804.064,499.23,12-11-07,"noStart",FALSE,315,NA,NA,315,313,48,NA,NA,-12.0319999999999,-8.67699999999996
"49333","M6","2007","Nov",26,1,1803.079,503.709,26-11-07,"noStart",FALSE,329,14,4.58602943732376,329,329,49,-0.985000000000127,4.47899999999998,-0.985000000000127,4.47899999999998
"49487","M6","2007","Dec",12,2,1807.376,499.336,12-12-07,"noStart",FALSE,345,16,6.13085132750747,345,345,50,4.29700000000003,-4.37299999999999,4.29700000000003,-4.37299999999999
"49638","M6","2007","Dec",28,0,1800.351,501.426,28-12-07,"noStart",FALSE,361,16,7.32930590165249,361,361,51,-7.02499999999986,2.08999999999997,-7.02499999999986,2.08999999999997
"49792","M6","2008","Jan",12,0,1800.29,500.976,12-01-08,"noStart",TRUE,9,15,0.454115624043049,374,374,52,-0.0610000000001492,-0.449999999999989,-0.0610000000001492,-0.449999999999989
"49955","M6","2008","Jan",28,1,1806.952,495.238,28-01-08,"noStart",TRUE,25,16,8.79243356528785,390,390,53,6.66200000000003,-5.738,6.66200000000003,-5.738
"50096","M6","2008","Feb",13,2,1805.95,502.21,13-02-08,"noStart",TRUE,41,16,7.04363457314472,406,406,54,-1.00199999999995,6.97199999999998,-1.00199999999995,6.97199999999998
"50255","M6","2008","Feb",29,0,1805.17,493.833,29-02-08,"noStart",TRUE,57,16,8.41323534676162,422,422,55,-0.779999999999973,-8.37699999999995,-0.779999999999973,-8.37699999999995
"50417","M6","2008","Mar",16,1,1802.691,497.871,16-03-08,"noStart",TRUE,73,16,4.73823648628895,438,438,56,-2.47900000000004,4.03799999999995,-2.47900000000004,4.03799999999995
"50566","M6","2008","Apr",1,2,1798.642,499.757,01-04-08,"noStart",TRUE,89,16,4.46669866903958,454,454,57,-4.04899999999998,1.88600000000002,-4.04899999999998,1.88600000000002
"50684","M6","2008","Apr",17,0,1800.852,503.939,17-04-08,"noStart",TRUE,105,16,4.73003424934749,470,470,58,2.21000000000004,4.18200000000002,2.21000000000004,4.18200000000002
"50818","M6","2008","May",3,1,1804.064,497.787,03-05-08,"noStart",TRUE,121,16,6.94003227658204,486,486,59,3.21199999999999,-6.15200000000004,3.21199999999999,-6.15200000000004
"50947","M6","2008","May",19,6,1807.096,495.898,19-05-08,"noStart",TRUE,137,16,3.57230247879423,502,502,60,3.03199999999993,-1.88899999999995,3.03199999999993,-1.88899999999995
"51068","M6","2008","Jun",4,0,1803.668,497.8,04-06-08,"noStart",TRUE,153,16,3.92030458000405,518,518,61,-3.42800000000011,1.90199999999999,-3.42800000000011,1.90199999999999
"51205","M6","2008","Jun",20,1,1804.049,498.468,20-06-08,"noStart",TRUE,169,16,0.769015604523129,534,534,62,0.381000000000085,0.668000000000006,0.381000000000085,0.668000000000006
"51344","M6","2008","Jul",6,2,1804.472,499.329,06-07-08,"noStart",TRUE,185,16,0.959296617319161,550,550,63,0.423000000000002,0.86099999999999,0.423000000000002,0.86099999999999
"51479","M6","2008","Jul",22,0,1804.059,497.759,22-07-08,"noStart",TRUE,201,16,1.62341276328603,566,566,64,-0.413000000000011,-1.56999999999999,-0.413000000000011,-1.56999999999999
"51613","M6","2008","Aug",7,1,1803.875,499.387,07-08-08,"noStart",TRUE,217,16,1.63836503868947,582,582,65,-0.183999999999969,1.62799999999999,-0.183999999999969,1.62799999999999
"51753","M6","2008","Aug",23,2,1804.706,500.131,23-08-08,"noStart",TRUE,233,16,1.11539096284657,598,598,66,0.830999999999904,0.743999999999971,0.830999999999904,0.743999999999971
"51892","M6","2008","Sep",8,0,1807.599,495.541,08-09-08,"noStart",TRUE,249,16,5.42563811915243,614,614,67,2.89300000000003,-4.58999999999997,2.89300000000003,-4.58999999999997
"52027","M6","2008","Sep",24,1,1800.382,493.46,24-09-08,"noStart",TRUE,265,16,7.5110352149353,630,630,68,-7.21699999999987,-2.08100000000002,-7.21699999999987,-2.08100000000002
"52108","M6","2008","Oct",10,0,1802.059,502.115,10-10-08,"noStart",TRUE,281,16,8.81597152899215,646,646,69,1.67699999999991,8.65500000000003,1.67699999999991,8.65500000000003
"52223","M6","2008","Oct",26,1,1803.739,499.208,26-10-08,"noStart",TRUE,297,16,3.35753615021493,662,662,70,1.68000000000006,-2.90699999999998,1.68000000000006,-2.90699999999998
"53734","M7","2007","Nov",10,0,1813.455,512.717,10-11-07,"noStart",FALSE,313,16,3.42489269904912,313,313,75,-2.24900000000002,-2.58299999999997,9.71599999999989,13.509
"54242","M7","2007","Nov",26,0,1812.401,514.285,26-11-07,"noStart",FALSE,329,16,1.88932262993901,329,329,76,-1.05399999999986,1.56799999999998,-1.05399999999986,1.56799999999998
"54800","M7","2007","Dec",12,0,1814.162,512.509,12-12-07,"noStart",FALSE,345,16,2.50105917562934,345,345,77,1.76099999999997,-1.77599999999995,1.76099999999997,-1.77599999999995
"55300","M7","2007","Dec",28,1,1812.774,513.26,28-12-07,"noStart",FALSE,361,16,1.57814606421598,361,361,78,-1.38800000000015,0.750999999999976,-1.38800000000015,0.750999999999976
"55782","M7","2008","Jan",12,2,1813.412,512.789,12-01-08,"noStart",TRUE,9,15,0.793022698288133,374,374,79,0.638000000000147,-0.471000000000004,0.638000000000147,-0.471000000000004
"56324","M7","2008","Jan",28,0,1812.471,512.027,28-01-08,"noStart",TRUE,25,16,1.21083648772242,390,390,80,-0.941000000000031,-0.761999999999944,-0.941000000000031,-0.761999999999944
"56888","M7","2008","Feb",13,0,1812.918,510.99,13-02-08,"noStart",TRUE,41,16,1.12923779603765,406,406,81,0.446999999999889,-1.03700000000003,0.446999999999889,-1.03700000000003
"57426","M7","2008","Feb",29,0,1812.137,511.627,29-02-08,"noStart",TRUE,57,16,1.00783431177943,422,422,82,-0.780999999999949,0.637,-0.780999999999949,0.637
"57956","M7","2008","Mar",16,0,1811.992,512.527,16-03-08,"noStart",TRUE,73,16,0.911605726177746,438,438,83,-0.144999999999982,0.900000000000034,-0.144999999999982,0.900000000000034
"58478","M7","2008","Apr",1,2,1813.583,513.233,01-04-08,"noStart",TRUE,89,16,1.74060822702877,454,454,84,1.59100000000012,0.705999999999904,1.59100000000012,0.705999999999904
"58996","M7","2008","Apr",17,2,1815.787,515.468,17-04-08,"noStart",TRUE,105,16,3.13892354159827,470,470,85,2.20399999999995,2.23500000000001,2.20399999999995,2.23500000000001
"59438","M7","2008","May",3,1,1816.938,513.858,03-05-08,"noStart",TRUE,121,16,1.97911621690092,486,486,86,1.15100000000007,-1.61000000000001,1.15100000000007,-1.61000000000001
"59906","M7","2008","May",19,0,1815.476,512.989,19-05-08,"noStart",TRUE,137,16,1.70076600389349,502,502,87,-1.46199999999999,-0.868999999999915,-1.46199999999999,-0.868999999999915
"60302","M7","2008","Jun",4,0,1815.916,513.055,04-06-08,"noStart",TRUE,153,16,0.444922465155264,518,518,88,0.439999999999827,0.0659999999999172,0.439999999999827,0.0659999999999172
"60824","M7","2008","Jun",20,1,1814.198,511.58,20-06-08,"noStart",TRUE,169,16,2.26432086948811,534,534,89,-1.71799999999985,-1.47499999999997,-1.71799999999985,-1.47499999999997
"61308","M7","2008","Jul",6,0,1813.077,514.068,06-07-08,"noStart",TRUE,185,16,2.72887980680722,550,550,90,-1.12100000000009,2.488,-1.12100000000009,2.488
"61772","M7","2008","Jul",22,0,1815.413,513.21,22-07-08,"noStart",TRUE,201,16,2.4885859438645,566,566,91,2.33600000000001,-0.857999999999947,2.33600000000001,-0.857999999999947
"62188","M7","2008","Aug",7,1,1813.694,514.413,07-08-08,"noStart",TRUE,217,16,2.09813488603572,582,582,92,-1.71900000000005,1.20299999999997,-1.71900000000005,1.20299999999997
"62706","M7","2008","Aug",23,0,1813.994,516.347,23-08-08,"noStart",TRUE,233,16,1.9571295307158,598,598,93,0.299999999999955,1.93399999999997,0.299999999999955,1.93399999999997
"63162","M7","2008","Sep",8,1,1812.2,514.571,08-09-08,"noStart",TRUE,249,16,2.5244032958304,614,614,94,-1.79399999999987,-1.77599999999995,-1.79399999999987,-1.77599999999995
"63536","M7","2008","Sep",24,0,1813.64,516.144,24-09-08,"noStart",TRUE,265,16,2.13258739563003,630,630,95,1.44000000000005,1.57299999999998,1.44000000000005,1.57299999999998
"64008","M7","2008","Oct",10,1,1814.738,512.801,10-10-08,"noStart",TRUE,281,16,3.51870047034408,646,646,96,1.09799999999996,-3.34299999999996,1.09799999999996,-3.34299999999996
"64460","M7","2008","Oct",26,0,1812.222,514.41,26-10-08,"noStart",TRUE,297,16,2.98649242423284,662,662,97,-2.51600000000008,1.60899999999992,-2.51600000000008,1.60899999999992
"67307","M8","2007","Nov",10,0,1803.92,499.542,10-11-07,"noStart",FALSE,313,16,4.26954470640602,313,313,102,-0.364000000000033,4.25399999999996,-8.30199999999991,-14.868
"67456","M8","2007","Nov",26,3,1806.313,501.153,26-11-07,"noStart",FALSE,329,16,2.88474782260084,329,329,103,2.39300000000003,1.61100000000005,2.39300000000003,1.61100000000005
"67604","M8","2007","Dec",12,1,1806.06,499.354,12-12-07,"noStart",FALSE,345,16,1.81670305773954,345,345,104,-0.253000000000156,-1.79900000000004,-0.253000000000156,-1.79900000000004
"67752","M8","2007","Dec",28,0,1806.928,500.679,28-12-07,"noStart",FALSE,361,16,1.58399779040258,361,361,105,0.868000000000166,1.32499999999999,0.868000000000166,1.32499999999999
"67899","M8","2008","Jan",12,0,1805.46,500.756,12-01-08,"noStart",TRUE,9,15,1.47001802710042,374,374,106,-1.46800000000007,0.0769999999999982,-1.46800000000007,0.0769999999999982
"68050","M8","2008","Jan",28,1,1803.468,497.635,28-01-08,"noStart",TRUE,25,16,3.70252683987567,390,390,107,-1.99199999999996,-3.12099999999998,-1.99199999999996,-3.12099999999998
"68201","M8","2008","Feb",13,1,1805.463,500.798,13-02-08,"noStart",TRUE,41,16,3.73959810674886,406,406,108,1.99499999999989,3.16300000000001,1.99499999999989,3.16300000000001
"68359","M8","2008","Feb",29,0,1805.296,493.789,29-02-08,"noStart",TRUE,57,16,7.01098923119984,422,422,109,-0.166999999999916,-7.00900000000001,-0.166999999999916,-7.00900000000001
"68519","M8","2008","Mar",16,1,1804.857,495.34,16-03-08,"noStart",TRUE,73,16,1.61193113996846,438,438,110,-0.439000000000078,1.55099999999999,-0.439000000000078,1.55099999999999
"68664","M8","2008","Apr",1,10,1801.679,496.357,01-04-08,"noStart",TRUE,89,16,3.33676085448139,454,454,111,-3.17799999999988,1.01700000000005,-3.17799999999988,1.01700000000005
"68795","M8","2008","Apr",17,0,1805.7,495.545,17-04-08,"noStart",TRUE,105,16,4.10216832906692,470,470,112,4.02099999999996,-0.812000000000012,4.02099999999996,-0.812000000000012
"68939","M8","2008","May",3,1,1805.593,495.132,03-05-08,"noStart",TRUE,121,16,0.42663567595784,486,486,113,-0.106999999999971,-0.413000000000011,-0.106999999999971,-0.413000000000011
"69082","M8","2008","May",19,1,1805.906,495.267,19-05-08,"noStart",TRUE,137,16,0.340872410147725,502,502,114,0.312999999999874,0.134999999999991,0.312999999999874,0.134999999999991
"69218","M8","2008","Jun",4,0,1805.844,495.136,04-06-08,"noStart",TRUE,153,16,0.144931018074048,518,518,115,-0.0619999999998981,-0.130999999999972,-0.0619999999998981,-0.130999999999972
"69357","M8","2008","Jun",20,1,1805.81,495.245,20-06-08,"noStart",TRUE,169,16,0.114179682956308,534,534,116,-0.0340000000001055,0.10899999999998,-0.0340000000001055,0.10899999999998
"69494","M8","2008","Jul",6,1,1805.766,495.27,06-07-08,"noStart",TRUE,185,16,0.0506063237153949,550,550,117,-0.043999999999869,0.0249999999999773,-0.043999999999869,0.0249999999999773
"69608","M8","2008","Jul",22,0,1806.144,495.045,22-07-08,"noStart",TRUE,201,16,0.439896578754519,566,566,118,0.377999999999929,-0.224999999999966,0.377999999999929,-0.224999999999966
"69719","M8","2008","Aug",7,1,1806.191,494.978,07-08-08,"noStart",TRUE,217,16,0.0818413098624611,582,582,119,0.0470000000000255,-0.0670000000000073,0.0470000000000255,-0.0670000000000073
"69826","M8","2008","Aug",23,1,1806.124,494.918,23-08-08,"noStart",TRUE,233,16,0.0899388681271965,598,598,120,-0.0670000000000073,-0.0600000000000023,-0.0670000000000073,-0.0600000000000023
"69910","M8","2008","Sep",8,0,1807.751,494.946,08-09-08,"noStart",TRUE,249,16,1.62724091639801,614,614,121,1.62699999999995,0.02800000000002,1.62699999999995,0.02800000000002
"70003","M8","2008","Sep",24,1,1806.684,498.064,24-09-08,"noStart",TRUE,265,16,3.29551407218965,630,630,122,-1.06700000000001,3.11799999999999,-1.06700000000001,3.11799999999999
"70060","M8","2008","Oct",10,16,1804.392,496.834,10-10-08,"noStart",TRUE,281,16,2.60118511451985,646,646,123,-2.29199999999992,-1.23000000000002,-2.29199999999992,-1.23000000000002
"70108","M8","2008","Oct",26,20,1804.781,497.949,26-10-08,"noStart",TRUE,297,16,1.18090897193642,662,662,124,0.388999999999896,1.11500000000001,0.388999999999896,1.11500000000001
