"","X","status","id","id_argos","date","time","velE","velN","lat","long","temp","xm","ym","dist","dist_Paula","xMercator","yMercator","vel","dateF","timeF","timeMong","dayF","dayOfYear","year","nameModis","hoursD","hoursD_Paula","month","daysToFindFrom","daysToFind","dayD","distX","distY","start","dist2X","dist2Y"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(NA NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",25,"Recovered",602189,76796,"2007.09.22","1:01:09",-3.78,0.74,46.87921,115.165585,23,1382.574,2025.898,20.8206478765673,7480,12820174,5891178,3.851752848,(07.09.22 01:01:09),"1:01:09",9,"9/22/07",265,2007,"2007241_merc",5,5,"Sep",265,265,15.8341319444444,14.9870000000001,-14.4530000000002,"noStart",14.9870000000001,-14.4530000000002
"3",54,"Recovered",602189,76796,"2007.10.08","1:00:36",0.02,-0.04,46.576376,116.995054,17,1513.681,2021.921,131.167305293659,607,13023830,5842152,0.04472136,(07.10.08 01:00:36),"1:00:36",9,"10/8/07",281,2007,"2007257_merc",5,5,"Oct",281,281,15.9996180555554,131.107,-3.97699999999986,"noStart",131.107,-3.97699999999986
"4",83,"Recovered",602189,76796,"2007.10.24","1:01:05",-0.3,-0.14,46.859428,117.37687,14,1531.86,2058.798,41.1143426312519,88,13066333,5887967,0.331058907,(07.10.24 01:01:05),"1:01:05",9,"10/24/07",297,2007,"2007273_merc",5,5,"Oct",297,297,16.0003356481484,18.1789999999999,36.8769999999997,"noStart",18.1789999999999,36.8769999999997
"5",111,"Recovered",602189,76796,"2007.11.09","1:00:37",0.14,-0.64,46.772468,117.328565,5,1530.943,2048.611,10.228189380335,2110,13060956,5873866,0.655133574,(07.11.09 01:00:37),"1:00:37",9,"11/9/07",313,2007,"2007289_merc",5,5,"Nov",313,313,15.9996759259247,-0.916999999999916,-10.1869999999999,"noStart",-0.916999999999916,-10.1869999999999
"6",140,"Recovered",602189,76796,"2007.11.25","1:00:36",-0.555,-0.265,46.536928,116.929406,-6,1510.285,2016.581,38.1139589127133,3052,13016522,5835787,0.615020325,(07.11.25 01:00:36),"1:00:36",9,"11/25/07",329,2007,"2007305_merc",5,5,"Nov",329,329,15.9999884259269,-20.6579999999999,-32.03,"noStart",-20.6579999999999,-32.03
"7",169,"Recovered",602189,76796,"2007.12.11","1:00:36",-3.4,-1.96,46.583885,115.929781,-10,1441.484,2005.618,69.6689670513351,1027,12905244,5843365,3.924487228,(07.12.11 01:00:36),"1:00:36",9,"12/11/07",345,2007,"2007321_merc",5,5,"Dec",345,345,16,-68.8010000000002,-10.963,"noStart",-68.8010000000002,-10.963
"8",198,"Recovered",602189,76796,"2007.12.27","1:00:37",0.095,-0.085,46.622607,116.006005,-7,1445.668,2011.007,6.82254915702343,1260,12913729,5849619,0.127475488,(07.12.27 01:00:37),"1:00:37",9,"12/27/07",361,2007,"2007337_merc",5,5,"Dec",361,361,16.0000115740731,4.18399999999997,5.38900000000012,"noStart",4.18399999999997,5.38900000000012
"9",222,"Recovered",602189,76796,"2008.01.11","0:01:59",-0.54,2,46.549158,115.961764,-19,1444.521,2002.359,8.72373274464562,2832,12908805,5837760,2.071617725,(08.01.11 00:01:59),"0:01:59",8,"1/11/08",11,2008,"2008001_merc",244,5,"Jan",376,374,14.959282407408,-1.14699999999993,-8.64800000000014,"noStart",-1.14699999999993,-8.64800000000014
"10",251,"Recovered",602189,76796,"2008.01.27","0:01:24",0.04,-0.24,47.489914,116.074642,-10,1428.406,2105.987,104.873521963363,1721,12921370,5990897,0.243310501,(08.01.27 00:01:24),"0:01:24",8,"1/27/08",27,2008,"2008017_merc",244,5,"Jan",392,390,15.9995949074073,-16.115,103.628,"noStart",-16.115,103.628
"11",280,"Recovered",602189,76796,"2008.02.12","0:01:24",0.08,1.1,47.684196,115.975723,-18,1416.934,2125.496,22.6320097428399,2422,12910358,6022865,1.102905254,(08.02.12 00:01:24),"0:01:24",8,"2/12/08",43,2008,"2008033_merc",244,5,"Feb",408,406,16,-11.472,19.509,"noStart",-11.472,19.509
"12",308,"Recovered",602189,76796,"2008.02.28","0:01:36",0.11,0.06,47.669741,116.084574,-4,1424.524,2125.612,7.59088637775581,3427,12922476,6020482,0.125299641,(08.02.28 00:01:36),"0:01:36",8,"2/28/08",59,2008,"2008049_merc",244,5,"Feb",424,422,16.0001388888886,7.58999999999992,0.115999999999985,"noStart",7.58999999999992,0.115999999999985
"13",337,"Recovered",602189,76796,"2008.03.15","0:01:07",2.9,-0.86,47.904156,115.111156,3,1354.181,2136.319,71.1531973842355,2064,12814115,6059203,3.024830574,(08.03.15 00:01:07),"0:01:07",8,"3/15/08",75,2008,"2008065_merc",244,5,"Mar",440,438,15.9996643518516,-70.3429999999998,10.7069999999999,"noStart",-70.3429999999998,10.7069999999999
"14",366,"Recovered",602189,76796,"2008.03.31","0:01:07",0.94,-3.6,47.896222,115.09025,9,1352.986,2135.15,1.67170152838344,1971,12811788,6057889,3.720698859,(08.03.31 00:01:07),"0:01:07",8,"3/31/08",91,2008,"2008081_merc",244,5,"Mar",456,454,16,-1.19499999999994,-1.16899999999987,"noStart",-1.19499999999994,-1.16899999999987
"15",395,"Recovered",602189,76796,"2008.04.16","0:01:06",-0.025,-0.04,48.073896,115.105099,17,1349.686,2154.654,19.781203603421,464,12813441,6087351,0.047169906,(08.04.16 00:01:06),"0:01:06",8,"4/16/08",107,2008,"2008097_merc",244,5,"Apr",472,470,15.9999884259269,-3.30000000000018,19.5039999999999,"noStart",-3.30000000000018,19.5039999999999
"16",424,"Recovered",602189,76796,"2008.05.02","0:01:07",0.14,-0.26,47.963467,115.235713,12,1360.993,2144.595,15.1337943028179,6998,12827981,6069028,0.295296461,(08.05.02 00:01:07),"0:01:07",8,"5/2/08",123,2008,"2008113_merc",244,5,"May",488,486,16.0000115740731,11.307,-10.0590000000002,"noStart",11.307,-10.0590000000002
"17",453,"Recovered",602189,76796,"2008.05.18","0:01:06",-0.06,-0.18,47.925931,114.461873,26,1310.618,2129.277,52.6524619462375,6547,12741837,6062809,0.18973666,(08.05.18 00:01:06),"0:01:06",8,"5/18/08",139,2008,"2008129_merc",244,5,"May",504,502,15.9999884259269,-50.375,-15.3179999999998,"noStart",-50.375,-15.3179999999998
"18",482,"Recovered",602189,76796,"2008.06.03","0:01:36",-0.04,0.24,47.907017,113.422427,16,1242.003,2112.793,70.5672762759057,722,12626127,6059677,0.243310501,(08.06.03 00:01:36),"0:01:36",8,"6/3/08",155,2008,"2008145_merc",244,5,"Jun",520,518,16.0003472222215,-68.615,-16.4839999999999,"noStart",-68.615,-16.4839999999999
"19",511,"Recovered",602189,76796,"2008.06.19","0:01:30",1.56,-0.58,47.808987,113.586127,28,1255.078,2104.336,15.5716561097401,873,12644350,6043462,1.664331698,(08.06.19 00:01:30),"0:01:30",8,"6/19/08",171,2008,"2008161_merc",244,5,"Jun",536,534,15.9999305555557,13.075,-8.45700000000033,"noStart",13.075,-8.45700000000033
"20",540,"Recovered",602189,76796,"2008.07.05","0:01:06",-0.06,-0.155,47.826766,113.592989,26,1255.138,2106.366,2.03088650593794,1707,12645114,6046400,0.166207701,(08.07.05 00:01:06),"0:01:06",8,"7/5/08",187,2008,"2008177_merc",244,5,"Jul",552,550,15.9997222222228,0.0599999999999454,2.0300000000002,"noStart",0.0599999999999454,2.0300000000002
"21",569,"Recovered",602189,76796,"2008.07.21","0:01:06",0.14,-0.045,47.895603,113.145303,33,1223.814,2107.834,31.3583800602006,120,12595278,6057787,0.147054412,(08.07.21 00:01:06),"0:01:06",8,"7/21/08",203,2008,"2008177_merc",244,5,"Jul",568,566,16,-31.3239999999998,1.46799999999985,"noStart",-31.3239999999998,1.46799999999985
"22",598,"Recovered",602189,76796,"2008.08.06","0:01:07",0.05,0.03,47.642429,112.988431,29,1218.841,2078.142,30.1055741184253,193,12577815,6015982,0.058309519,(08.08.06 00:01:07),"0:01:07",8,"8/6/08",219,2008,"2008193_merc",244,5,"Aug",584,582,16.0000115740731,-4.97300000000018,-29.692,"noStart",-4.97300000000018,-29.692
"23",625,"Recovered",602189,76796,"2008.08.22","0:01:07",-0.01,0.015,47.580801,112.837637,29,1210.073,2069.429,12.360994822424,538,12561028,6005837,0.018027756,(08.08.22 00:01:07),"0:01:07",8,"8/22/08",235,2008,"2008209_merc",244,5,"Aug",600,598,16,-8.7679999999998,-8.71299999999974,"noStart",-8.7679999999998,-8.71299999999974
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(NA NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",741,"Recovered",602190,76797,"2007.09.21","0:00:36",-0.005,-0.025,47.712051,114.035819,18,1287.23,2099.998,82.9261308937056,1104,12694409,6027458,0.025495098,(07.09.21 00:00:36),"0:00:36",8,"9/21/07",264,2007,"2007241_merc",5,5,"Sep",264,265,15.999988425925,-60.8679999999999,56.319,"noStart",-60.8679999999999,56.319
"28",766,"Recovered",602190,76797,"2007.10.07","0:01:23",-0.06,0.1,47.508328,113.800234,4,1276.121,2074.542,27.7744093906604,5684,12668184,5993922,0.116619038,(07.10.07 00:01:23),"0:01:23",8,"10/7/07",280,2007,"2007257_merc",5,5,"Oct",280,281,16.0005439814831,-11.1089999999999,-25.4560000000001,"noStart",-11.1089999999999,-25.4560000000001
"29",795,"Recovered",602190,76797,"2007.10.23","0:00:37",-0.67,0.11,47.1494,113.757504,5,1281.344,2034.872,40.0123559541298,5287,12663427,5935154,0.678969808,(07.10.23 00:00:37),"0:00:37",8,"10/23/07",296,2007,"2007273_merc",5,5,"Oct",296,297,15.9994675925918,5.22299999999996,-39.6699999999998,"noStart",5.22299999999996,-39.6699999999998
"30",824,"Recovered",602190,76797,"2007.11.08","0:00:37",-0.32,0.08,47.399787,113.771335,-2,1276.633,2062.324,27.8532910981808,1245,12664967,5976108,0.32984845,(07.11.08 00:00:37),"0:00:37",8,"11/8/07",312,2007,"2007289_merc",5,5,"Nov",312,313,16,-4.71100000000001,27.452,"noStart",-4.71100000000001,27.452
"31",853,"Recovered",602190,76797,"2007.11.24","0:00:37",1.16,3.96,46.881587,114.347417,-1,1327.272,2014.102,69.9261725321785,1089,12729096,5891563,4.126402792,(07.11.24 00:00:37),"0:00:37",8,"11/24/07",328,2007,"2007305_merc",5,5,"Nov",328,329,16,50.6389999999999,-48.222,"noStart",50.6389999999999,-48.222
"32",882,"Recovered",602190,76797,"2007.12.10","0:00:37",0.16,0.12,47.21798,113.894995,-14,1289.049,2044.259,48.687189054206,2040,12678733,5946351,0.2,(07.12.10 00:00:37),"0:00:37",8,"12/10/07",344,2007,"2007321_merc",5,5,"Dec",344,345,16,-38.223,30.1569999999999,"noStart",-38.223,30.1569999999999
"33",911,"Recovered",602190,76797,"2007.12.26","0:00:36",0.03,-0.135,47.243565,113.895504,-10,1288.503,2047.05,2.84390523752106,159,12678790,5950533,0.138293167,(07.12.26 00:00:36),"0:00:36",8,"12/26/07",360,2007,"2007337_merc",5,5,"Dec",360,361,15.999988425925,-0.546000000000049,2.79099999999994,"noStart",-0.546000000000049,2.79099999999994
"34",931,"Recovered",602190,76797,"2008.01.09","3:00:36",-0.01,-0.005,47.11897,115.341335,-8,1388.579,2054.557,100.35716628622,1675,12839739,5930190,0.01118034,(08.01.09 03:00:36),"3:00:36",11,"1/9/08",9,2008,"2008001_merc",5,5,"Jan",374,374,14.125,100.076,7.50699999999983,"noStart",100.076,7.50699999999983
"35",958,"Recovered",602190,76797,"2008.01.25","13:02:06",-0.02,-0.02,47.154387,115.359675,-11,1388.946,2058.675,4.13432134696896,24,12841780,5935967,0.028284271,(08.01.25 13:02:06),"13:02:06",21,"1/25/08",25,2008,"2008017_merc",20,5,"Jan",390,390,16.4177083333343,0.366999999999962,4.11800000000039,"noStart",0.366999999999962,4.11800000000039
"36",985,"Recovered",602190,76797,"2008.02.10","3:00:36",0,-0.01,47.341699,115.12148,-3,1368.438,2075.426,26.479691557871,408,12815265,5966589,0.01,(08.02.10 03:00:36),"3:00:36",11,"2/10/08",41,2008,"2008033_merc",5,5,"Feb",406,406,15.5822916666657,-20.5079999999998,16.7509999999997,"noStart",-20.5079999999998,16.7509999999997
"37",1013,"Recovered",602190,76797,"2008.02.26","3:00:37",-0.27,0.22,47.323146,115.092634,3,1366.955,2072.984,2.85703570156212,2339,12812053,5963551,0.348281495,(08.02.26 03:00:37),"3:00:37",11,"2/26/08",57,2008,"2008049_merc",5,5,"Feb",422,422,16.000011574075,-1.48300000000017,-2.44200000000001,"noStart",-1.48300000000017,-2.44200000000001
"38",1042,"Recovered",602190,76797,"2008.03.13","3:00:36",0.08,0.08,47.512084,114.752363,10,1339.688,2088.492,31.3685726962512,3225,12774175,5994539,0.113137085,(08.03.13 03:00:36),"3:00:36",11,"3/13/08",73,2008,"2008065_merc",5,5,"Mar",438,438,15.999988425925,-27.2669999999998,15.5080000000003,"noStart",-27.2669999999998,15.5080000000003
"39",1071,"Recovered",602190,76797,"2008.03.29","3:00:37",0,-0.04,47.667354,114.25945,17,1303.165,2098.285,37.8131244146791,793,12719304,6020089,0.04,(08.03.29 03:00:37),"3:00:37",11,"3/29/08",89,2008,"2008081_merc",5,5,"Mar",454,454,16.000011574075,-36.5230000000001,9.79299999999967,"noStart",-36.5230000000001,9.79299999999967
"40",1100,"Recovered",602190,76797,"2008.04.14","3:01:05",0.04,-0.32,47.878806,114.051801,12,1284.481,2118.366,27.4287881066591,347,12696188,6055007,0.32249031,(08.04.14 03:01:05),"3:01:05",11,"4/14/08",105,2008,"2008097_merc",5,5,"Apr",470,470,16.0003240740734,-18.684,20.0810000000001,"noStart",-18.684,20.0810000000001
"41",1129,"Recovered",602190,76797,"2008.04.30","3:00:36",-0.64,0.14,47.803564,114.13349,16,1291.637,2111.324,10.039825695698,731,12705282,6042566,0.655133574,(08.04.30 03:00:36),"3:00:36",11,"4/30/08",121,2008,"2008113_merc",5,5,"Apr",486,486,15.9996643518516,7.15599999999995,-7.04199999999992,"noStart",7.15599999999995,-7.04199999999992
"42",1158,"Recovered",602190,76797,"2008.05.16","3:00:37",0.02,0,47.706598,113.761724,16,1269.078,2095.595,27.5010894693284,985,12663897,6026559,0.02,(08.05.16 03:00:37),"3:00:37",11,"5/16/08",137,2008,"2008129_merc",5,5,"May",502,502,16.000011574075,-22.559,-15.7290000000003,"noStart",-22.559,-15.7290000000003
"43",1187,"Recovered",602190,76797,"2008.06.01","3:00:37",0,-0.025,47.515909,113.911101,17,1283.369,2076.91,23.5236456783381,291,12680526,5995168,0.025,(08.06.01 03:00:37),"3:00:37",11,"6/1/08",153,2008,"2008145_merc",5,5,"Jun",518,518,16,14.2909999999999,-18.6849999999999,"noStart",14.2909999999999,-18.6849999999999
"44",1216,"Recovered",602190,76797,"2008.06.17","3:00:36",-0.32,0.34,47.773617,113.30146,29,1236.889,2096.625,50.4883315727506,1821,12612661,6037619,0.466904701,(08.06.17 03:00:36),"3:00:36",11,"6/17/08",169,2008,"2008145_merc",5,5,"Jun",534,534,15.999988425925,-46.48,19.7150000000001,"noStart",-46.48,19.7150000000001
"45",1244,"Recovered",602190,76797,"2008.07.03","3:02:24",0.2,0.12,47.831536,113.293965,38,1235.116,2102.837,6.46006756930603,397,12611826,6047189,0.233238076,(08.07.03 03:02:24),"3:02:24",11,"7/3/08",185,2008,"2008161_merc",10,5,"Jul",550,550,16.0012500000012,-1.77299999999991,6.21199999999999,"noStart",-1.77299999999991,6.21199999999999
"46",1273,"Recovered",602190,76797,"2008.07.19","3:00:37",-0.325,-0.025,47.360952,114.016279,36,1293.942,2061.521,71.8853958186222,120,12692234,5969743,0.32596012,(08.07.19 03:00:37),"3:00:37",11,"7/19/08",201,2008,"2008177_merc",5,5,"Jul",566,566,15.9987615740738,58.826,-41.3159999999998,"noStart",58.826,-41.3159999999998
"47",1302,"Recovered",602190,76797,"2008.08.04","3:00:36",0.045,-0.03,47.358112,113.803228,32,1279.713,2058.23,14.6046267326489,151,12668517,5969278,0.054083269,(08.08.04 03:00:36),"3:00:36",11,"8/4/08",217,2008,"2008193_merc",5,5,"Aug",582,582,15.999988425925,-14.229,-3.29100000000017,"noStart",-14.229,-3.29100000000017
"48",1331,"Recovered",602190,76797,"2008.08.20","3:00:36",-0.16,0.28,47.372844,113.748622,34,1275.716,2059.076,4.08555075846581,578,12662439,5971692,0.32249031,(08.08.20 03:00:36),"3:00:36",11,"8/20/08",233,2008,"2008209_merc",5,5,"Aug",598,598,16,-3.99700000000007,0.846000000000004,"noStart",-3.99700000000007,0.846000000000004
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(NA NA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1427,"Recovered",602191,76798,"2007.09.21","0:01:05",-0.045,0.01,46.825472,115.921501,19,1434.867,2031.652,75.7414493721899,1726,12904322,5882458,0.046097722,(07.09.21 00:01:05),"0:01:05",8,"9/21/07",264,2007,"2007241_merc",5,5,"Sep",264,265,15.7924189814803,73.768,-17.1770000000001,"noStart",73.768,-17.1770000000001
"53",1456,"Recovered",602191,76798,"2007.10.07","0:01:23",-0.71,1.07,46.623401,115.74721,5,1428.143,2007.05,25.5043247313079,1147,12884920,5849747,1.284133949,(07.10.07 00:01:23),"0:01:23",8,"10/7/07",280,2007,"2007257_merc",5,5,"Oct",280,281,16.0002083333347,-6.72399999999993,-24.6020000000001,"noStart",-6.72399999999993,-24.6020000000001
"54",1485,"Recovered",602191,76798,"2007.10.23","0:00:37",1.86,0.06,46.79109,116.014842,10,1442.023,2029.389,26.2999110454768,4064,12914713,5876883,1.86096749,(07.10.23 00:00:37),"0:00:37",8,"10/23/07",296,2007,"2007273_merc",5,5,"Oct",296,297,15.9994675925918,13.8799999999999,22.3389999999999,"noStart",13.8799999999999,22.3389999999999
"55",1514,"Recovered",602191,76798,"2007.11.08","0:00:36",-0.02,-0.12,47.300972,115.692889,2,1407.661,2079.634,60.8712335097622,1441,12878873,5959922,0.121655251,(07.11.08 00:00:36),"0:00:36",8,"11/8/07",312,2007,"2007289_merc",5,5,"Nov",312,313,15.999988425925,-34.3619999999999,50.2450000000001,"noStart",-34.3619999999999,50.2450000000001
"56",1543,"Recovered",602191,76798,"2007.11.24","0:00:37",2.62,-2.1,46.767599,115.746533,3,1424.511,2022.663,59.4105827357382,4035,12884845,5873077,3.357737333,(07.11.24 00:00:37),"0:00:37",8,"11/24/07",328,2007,"2007305_merc",5,5,"Nov",328,329,16.000011574075,16.8499999999999,-56.971,"noStart",16.8499999999999,-56.971
